variable_name,label,description_and_notes,simple_datatype,xml_datatype,limited_to_domains,limited_to_classes,codelist_reference,external_dictionary,role,qualifying_variables,sources,used_in_domains
EVAL,Evaluator,"The role of the person(s) providing an evaluation, appraisal, or interpretation.",Char,string,,,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C78735.EVAL"" target=""_blank"">EVAL</a>)",,Non-Standard Record Qualifier,,TAUG-T1D-Prevention v1.0,CE (Clinical Events)
SETTNG,Event Setting,The environmental setting where the event occurred.,Char,string,,Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C127262.SETTING"" target=""_blank"">SETTING</a>)",,Non-Standard Record Qualifier,,UG-Pediatrics v1.0,CE (Clinical Events) MH (Medical History)
FTINID,Fetus or Infant Identifier,An identifier that distinguishes multiple fetuses or infants from a multi-gestation pregnancy.,Char,string,,,,,Non-Standard Identifier,,UG-Pediatrics v1.0,CE (Clinical Events) MH (Medical History) PR (Procedures) VS (Vital Signs)
FORM,Form used,Form used for the performance test.,Char,string,FT (Functional Tests),Findings,,,Non-Standard Result Qualifier,,QRS: PASAT v1.0,FT (Functional Tests)
HLGT,High Level Group Term,The high-level group term from the primary hierarchy assigned from MedDRA.,Char,string,,Interventions,,MedDRA,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
HLGT,High Level Group Term,The high-level group term from the primary hierarchy assigned from MedDRA.,Char,string,,Interventions,,MedDRA,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
HLGTCD,High Level Group Term Code,The high-level group term code from the primary hierarchy assigned from MedDRA.,Num,float,,Interventions,,MedDRA,Non-Standard Variable Qualifier,HLGT,CDASHIG vX.Y,
HLGTCD,High Level Group Term Code,The high-level group term code from the primary hierarchy assigned from MedDRA.,Num,float,,Interventions,,MedDRA,Non-Standard Variable Qualifier,HLGT,CDASHIG  v2.2,
HLT,High Level Term,The high-level term from the primary hierarchy assigned from MedDRA.,Char,string,,Interventions,,MedDRA,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
HLT,High Level Term,The high-level term from the primary hierarchy assigned from MedDRA.,Char,string,,Interventions,,MedDRA,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
HLTCD,High Level Term Code,The high-level term code from the primary hierarchy assigned from MedDRA.,Num,float,,Interventions,,MedDRA,Non-Standard Variable Qualifier,HLT,CDASHIG vX.Y,
HLTCD,High Level Term Code,The high-level term code from the primary hierarchy assigned from MedDRA.,Num,float,,Interventions,,MedDRA,Non-Standard Variable Qualifier,HLT,CDASHIG  v2.2,
IMCND,Image Condition,Free or standardized text describing the condition of the image.,Char,string,,,,,Non-Standard Record Qualifier,,TAUG-Crohn's Disease v1.0,GI (Gastrointestinal System Findings) MI (Microscopic Findings)
IMCND1,Image Condition 1,Free or standardized text describing the condition of the image.,Char,string,,,,,Non-Standard Record Qualifier,,TAUG-Crohn's Disease v1.0,MI (Microscopic Findings)
IMCND2,Image Condition 2,Free or standardized text describing the condition of the image.,Char,string,,,,,Non-Standard Record Qualifier,,TAUG-Crohn's Disease v1.0,MI (Microscopic Findings)
ICMOTD,Image Condition r/t Motion Distortion,A description of the condition of the image with respect to image distortion due to movement..,Char,string,,,,,Non-Standard Record Qualifier,,TAUG-COVID-19 v2.0,RE (Respiratory System Findings)
ICNOIS,Image Condition r/t Noise,Free or standardized text describing the condition of the image with respect to the presence of signal noise.,Char,string,,,,,Non-Standard Record Qualifier,,TAUG-COVID-19 v2.0,RE (Respiratory System Findings)
INDC,Indication,"The sign, symptom, or condition that is the basis for initiation of the encounter.",Char,string,,,,,Non-Standard Record Qualifier,,TAUG-COVID-19 v2.0,HO (Healthcare Encounters)
INDC,Indication,"The sign, symptom, or condition that is the basis for initiation of the encounter.",Char,string,HO (Healthcare Encounters),Events,,,Non-Standard Record Qualifier,,TAUG-COVID-19 v1.0,HO (Healthcare Encounters)
INDADJ,Infusion Duration Adjustment Reason,The explanation for why an infusion duration was changed as compared to a previous infusion.,Char,string,EC (Exposure as Collected) EX (Exposure),,,,Non-Standard Record Qualifier,,TAUG-PanCan v1.0,EC (Exposure as Collected) EX (Exposure)
INFIRP,Infusion Interrupted,An indicator to identify whether the infusion was delayed temporarily.,Char,string,EC (Exposure as Collected) EX (Exposure),,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66742.NY"" target=""_blank"">NY</a>)",,Non-Standard Record Qualifier,,TAUG-PanCan v1.0,EC (Exposure as Collected) EX (Exposure)
INFRT,Infusion Rate,The infusion rate for the total amount of drug + vehicle administered to the subject.,Num,float,,Interventions,,,Non-Standard Variable Qualifier,--TRT,CDASHIG v2.3,
INFRTU,Infusion Rate Unit,The unit of measure for the infusion rate for the total amount of drug + vehicle administered to the subject.,Char,string,,Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C71620.UNIT"" target=""_blank"">UNIT</a>)",,Non-Standard Variable Qualifier,INFRT,CDASHIG vX.Y,
INFRTU,Infusion Rate Unit,The unit of measure for the infusion rate for the total amount of drug + vehicle administered to the subject.,Char,string,,Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C71620.UNIT"" target=""_blank"">UNIT</a>)",,Non-Standard Variable Qualifier,INFRT,CDASHIG vX.Y,
INFRTU,Infusion Rate Unit,The unit of measure for the infusion rate for the total amount of drug + vehicle administered to the subject.,Char,string,,Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C71620.UNIT"" target=""_blank"">UNIT</a>)",,Non-Standard Variable Qualifier,INFRT,CDASHIG v2.3,
FRQADJ,Intervention Frequency Adjustment Reason,The explanation for the change in frequency of the intervention administration.,Char,string,,Interventions,,,Non-Standard Record Qualifier,,TAUG-PanCan v1.0,EC (Exposure as Collected) EX (Exposure)
ISOTYP,Isolation Type,Used to indicate the type of transmission-based precautions to prevent the spread of infectious agents.,Char,string,HO (Healthcare Encounters),Events,,,Non-Standard Record Qualifier,,TAUG-COVID-19 v2.0,HO (Healthcare Encounters)
LOCDTL,Location Detail,"The free text description that further qualifies the value in --LOC, and provides additional, more specific anatomical and granular information about a specific location, a proximate location or a range of location(s).",Char,string,TU (Tumor/Lesion Identification),,,,Non-Standard Variable Qualifier,--LOC,QRS: RECIST V1.1 v1.0,TU (Tumor/Lesion Identification)
LOCDTL,Location Detail,"The free text description that further qualifies the value in --LOC, and provides additional, more specific and granular information about a specific location, a proximate location or a range of location(s).",Char,string,,,,,Non-Standard Variable Qualifier,--LOC,TAUG-PanCan v1.0,TU (Tumor/Lesion Identification)
LOCDTL,Location Details,"The free text description that further qualifies the value in --LOC, and provides additional, more specific and granular information about a proximate location or a range of location(s) where an assessment is made.",Char,string,,,,,Non-Standard Variable Qualifier,--LOC,TAUG-Psoriasis v1.0,TU (Tumor/Lesion Identification)
LOC1,Location of Event 1,The anatomical location relevant for the event.,Char,string,,Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C74456.LOC"" target=""_blank"">LOC</a>)",,Non-Standard Record Qualifier,,TAUG-Crohn's Disease v1.0,MH (Medical History)
LOC2,Location of Event 2,The anatomical location relevant for the event.,Char,string,,Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C74456.LOC"" target=""_blank"">LOC</a>)",,Non-Standard Record Qualifier,,TAUG-Crohn's Disease v1.0,MH (Medical History)
LOC2,Location of Procedure 2,Location of Procedure 2,Char,string,PR (Procedures),Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C74456.LOC"" target=""_blank"">LOC</a>)",,Non-Standard Record Qualifier,,QRS: RECIST V1.1 v1.0,PR (Procedures)
LOC1,Location of Procedure 1,Location of Procedure 1,Char,string,PR (Procedures),Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C74456.LOC"" target=""_blank"">LOC</a>)",,Non-Standard Record Qualifier,,QRS: RECIST V1.1 v1.0,PR (Procedures)
LLT,Lowest Level Term,The lowest-level term assigned from MedDRA.,Char,string,,Interventions,,MedDRA,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
LLT,Lowest Level Term,The lowest-level term assigned from MedDRA.,Char,string,,Interventions,,MedDRA,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
LLTCD,Lowest Level Term Code,The lowest-level term code assigned from MedDRA.,Num,float,,Interventions,,MedDRA,Non-Standard Variable Qualifier,LLT,CDASHIG vX.Y,
LLTCD,Lowest Level Term Code,The lowest-level term code assigned from MedDRA.,Num,float,,Interventions,,MedDRA,Non-Standard Variable Qualifier,LLT,CDASHIG  v2.2,
