item_oid,activity_instance_name,activity_item_class_name,order,primary,preset_response_value,value_condition,value_dependent_map
ImportedInstance_Item_165,Risk Factor - Alcohol Consumption,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_166,Atrophy of the Pancreas,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_167,Calcification of Pancreas,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_168,Other Chronic Pancreatitis Symptom,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_169,Imaging Method - CT Scan,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_170,Dilatation of Pancreatic Ducts,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_171,Dilated Common Bile Duct,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_172,Risk Factor -Family Hist of Pancreatitis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_173,Fever as Symptom,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_174,Acute Complications - GI Haemorrhage,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_175,Risk Factor - History of Gallstones,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_176,Risk Factor - Hyper-Calcaemia,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_177,Risk Factor - Hyper-Triglyceridemia,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_178,Imaging Consistent with Acute Pan,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_179,Imaging Consistent with Chronic Pan,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_180,Imaging Consistent with Gallstone,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_181,Was Imaging Performed,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_182,Imaging Method - MRI,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_183,Nausea as Symptom,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_184,Necrotising Pancreatitis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_185,Obstructive Gall-Stone,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_186,Oedematous or Interstitial Pancreatitis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_187,Imaging Method - Other,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_188,Acute Complications - Other,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_189,Risk Factor - Other,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_190,Other Symptom,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_191,Peri-Pancreatic Fluid,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_192,Pseudocysts,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_193,Acute Complications - Renal Failure,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_194,Acute Complications -Respiratory Failure,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_195,Pancreatitis Risk Factors,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_196,Acute Complications - Sepsis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_197,Symptoms Present During Event,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_198,Risk Factor - Trauma to the Pancreas,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_199,Treatment Type,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_200,Imaging Method - Ultrasound,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_201,Vomiting as Symptom,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_202,PH Dipstick,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_203,PH Dipstick,specimen,2,No,,,
ImportedInstance_Item_204,Urine pH,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_205,Urine pH,specimen,2,No,,,
ImportedInstance_Item_206,Platelets,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_207,"Potassium, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_208,"Potassium, Biochemistry",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_209,"Potassium, Biochemistry",specimen,2,No,,,
ImportedInstance_Item_210,Protein,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_211,Protein,specimen,2,No,,,
ImportedInstance_Item_212,"Prothrombin Time, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_213,"Protein Urine, Stick",categoric_finding_original_result,1,No,,,
ImportedInstance_Item_214,"Protein Urine, Stick",specimen,2,No,,,
ImportedInstance_Item_215,"Prothrombin Time, Plasma",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_216,"Prothrombin Time, Plasma",specimen,2,No,,,
ImportedInstance_Item_217,Pulse,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_218,Pulse,position,5,No,,,
ImportedInstance_Item_219,Race,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_220,"Erythrocytes in Urine, AE Requiring Additional Data",textual_finding_original_result,1,No,,,
ImportedInstance_Item_221,"Erythrocytes in Urine, Urinalysis",categoric_finding_original_result,1,No,,,
ImportedInstance_Item_222,"Erythrocytes in Urine, Urinalysis",specimen,2,No,,,
ImportedInstance_Item_223,Reason for Undetermined Death Cause 1,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_224,Respiratory Rate,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_225,Seizure,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_226,"Creatinine, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_227,"Creatinine, AE Requiring Additional Data",specimen,2,No,,,
ImportedInstance_Item_228,Severe Acute Upper Abdominal Pain,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_229,Severity of Pancreatitis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_230,Sex,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_231,"Sodium, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_232,"Sodium, Biochemistry",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_233,"Sodium, Biochemistry",specimen,2,No,,,
ImportedInstance_Item_234,Source of Adjudicated Event,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_235,Subject Fasting,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_236,Subject Died,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_237,Symptom of Pancreatitis 1,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_238,Symptom of Pancreatitis 2,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_239,Symptom of Pancreatitis 3,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_240,Symptom of Unstable Angina Pectoris 1,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_241,Symptom of Unstable Angina Pectoris 2,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_242,Symptom of Unstable Angina Pectoris 3,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_243,Symptom of Unstable Angina Pectoris 4,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_244,Thrombocytes,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_245,Thrombocytes,specimen,2,No,,,
ImportedInstance_Item_246,Treadmill - Pain-Free Walking Distance on Flat Treadmill,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_247,Treadmill - Pain-Free Walking Distance on Inclined Treadmill,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_248,Treadmill - Max Walking Distance on Inclined Treadmill,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_249,TOAST Classification,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_250,"Total Protein, g/dL",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_251,"Total Protein, g/dL",specimen,2,No,,,
ImportedInstance_Item_252,Type of Heart Failure,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_253,Type of Myocardial Infarction,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_254,Type of Stroke,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_255,Leukocytes,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_256,Leukocytes,specimen,2,No,,,
ImportedInstance_Item_257,Unconscious/Coma,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_258,Undetermined Etiology Reason,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_259,Details in Source Data,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_260,Urine Culture,textual_finding_original_result,1,No,,,
ImportedInstance_Item_261,Urine Culture,specimen,2,No,,,
ImportedInstance_Item_262,Urine Microscopy,textual_finding_original_result,1,No,,,
ImportedInstance_Item_263,Urine Microscopy,specimen,2,No,,,
ImportedInstance_Item_264,Have All Urine Samples Been Taken,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_265,Have All Urine Samples Been Taken,specimen,2,No,,,
ImportedInstance_Item_266,Urobilinogen,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_267,Urobilinogen,specimen,2,No,,,
ImportedInstance_Item_268,Urobilinogen Urine,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_269,Urobilinogen Urine,specimen,2,No,,,
ImportedInstance_Item_270,Waist Circumference,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_271,White Blood Cells,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_272,"Leukocytes in Urine, AE Requiring Additional Data",textual_finding_original_result,1,No,,,
ImportedInstance_Item_273,"Leukocytes in Urine, AE Requiring Additional Data",specimen,2,No,,,
ImportedInstance_Item_274,"Leukocytes in Urine, Urinalysis",categoric_finding_original_result,1,No,,,
ImportedInstance_Item_275,"Leukocytes in Urine, Urinalysis",specimen,2,No,,,
